,time_value,trend,geo_value
979,2020-10-27,73,tx
980,2020-10-27,84,us
981,2020-10-27,56,ut
982,2020-10-27,74,va
983,2020-10-27,37,vt
984,2020-10-27,77,wa
985,2020-10-27,53,wi
986,2020-10-27,37,wv
987,2020-10-27,37,wy
988,2020-10-28,42,ak
989,2020-10-28,64,al
990,2020-10-28,43,ar
991,2020-10-28,85,az
992,2020-10-28,83,ca
993,2020-10-28,79,co
994,2020-10-28,85,ct
995,2020-10-28,51,dc
996,2020-10-28,69,de
997,2020-10-28,88,fl
998,2020-10-28,85,ga
999,2020-10-28,56,hi
1000,2020-10-28,50,ia
1001,2020-10-28,51,id
1002,2020-10-28,81,il
1003,2020-10-28,71,in
1004,2020-10-28,47,ks
1005,2020-10-28,79,ky
1006,2020-10-28,74,la
1007,2020-10-28,88,ma
1008,2020-10-28,86,md
1009,2020-10-28,58,me
1010,2020-10-28,83,mi
